"home_team","away_team","prob_h","prob_d","prob_a","mlo"
"CANADA","MOROCCO",0.252,0.311,0.437,"0-1 (0.169)"
"PARAGUAY","FRANCE",0.135,0.198,0.667,"0-2 (0.106)"
"BRAZIL","NORWAY",0.566,0.201,0.233,"2-1 (0.064)"
"MEXICO","ENGLAND",0.409,0.323,0.268,"0-0 (0.182)"
"PORTUGAL","SPAIN",0.33,0.286,0.384,"0-0 (0.131)"
"UNITEDSTATES","BELGIUM",0.259,0.204,0.538,"1-2 (0.06)"
"ARGENTINA","EGYPT",0.461,0.274,0.265,"1-0 (0.134)"
"SWITZERLAND","COLOMBIA",0.53,0.219,0.252,"1-1 (0.076)"
