"home_team","away_team","prob_h","prob_d","prob_a","mlo"
"CANADA","MOROCCO",0.284,0.339,0.376,"0-0 (0.193)"
"PARAGUAY","FRANCE",0.169,0.233,0.599,"0-1 (0.13)"
"BRAZIL","NORWAY",0.53,0.21,0.26,"2-1 (0.069)"
"MEXICO","ENGLAND",0.262,0.312,0.426,"0-1 (0.16)"
"PORTUGAL","SPAIN",0.219,0.241,0.541,"0-1 (0.117)"
"UNITEDSTATES","BELGIUM",0.199,0.186,0.614,"1-3 (0.061)"
"ARGENTINA","EGYPT",0.556,0.282,0.162,"1-0 (0.188)"
"SWITZERLAND","COLOMBIA",0.523,0.223,0.254,"2-1 (0.083)"
