"home","away","home win","draw","away win","mlo"
"CANADA","MOROCCO",0.3,0.297,0.404,"0-1 (0.133)"
"PARAGUAY","FRANCE",0.35,0.297,0.353,"1-1 (0.137)"
"BRAZIL","NORWAY",0.493,0.269,0.238,"1-0 (0.137)"
"MEXICO","ENGLAND",0.412,0.295,0.293,"1-0 (0.141)"
"PORTUGAL","SPAIN",0.42,0.287,0.293,"1-1 (0.133)"
"UNITEDSTATES","BELGIUM",0.507,0.267,0.225,"1-0 (0.136)"
"ARGENTINA","EGYPT",0.358,0.304,0.338,"1-1 (0.136)"
"SWITZERLAND","COLOMBIA",0.19,0.261,0.549,"0-1 (0.151)"
