"home_team","away_team","prob_h","prob_d","prob_a","mlo","goal_diff_mean","goal_diff_median","goal_diff_sd","goal_diff_q05","goal_diff_q95","most_likely_score","xg_home_mean","xg_home_sd","xg_away_mean","xg_away_sd"
"FRANCE","MOROCCO",0.422,0.294,0.284,"1-0 (0.139)",0.326,0,1.54687498058227,-2,3,"1-0",1.219677713728,0.423213515763018,0.9163648915605,0.254318037315453
"SPAIN","BELGIUM",0.462,0.229,0.309,"1-1 (0.084)",0.48125,0,2.06051203951014,-3,4,"1-1",1.920690950218,0.692337556371699,1.463074389898,0.553661939205494
"NORWAY","ENGLAND",0.275,0.244,0.48,"1-1 (0.1)",-0.56,0,1.84952836928694,-4,2,"1-1",1.205580922538,0.432775201649151,1.7598465905305,0.558877663656733
"ARGENTINA","SWITZERLAND",0.397,0.261,0.342,"1-1 (0.108)",0.11925,0,1.83939535753473,-3,3,"1-1",1.4214489229205,0.492919069104931,1.3476064087755,0.572166294297426
