"home_team","away_team","prob_h","prob_d","prob_a","mlo","goal_diff_mean","goal_diff_median","goal_diff_sd","goal_diff_q05","goal_diff_q95","most_likely_score"
"FRANCE","SPAIN",0.368,0.285,0.347,"1-0 (0.122)",0.02675,0,1.67622697500008,-3,3,"0-0"
"ENGLAND","ARGENTINA",0.383,0.27,0.347,"1-1 (0.109)",0.068,0,1.78470509974989,-3,3,"1-1"
