pays, points, date, id, id_num, team_short 
Philippines, 1100.95, 2026-06-11, , , 
Malaysia, 1086.22, 2026-06-11, , , 
Latvia, 1085.66, 2026-06-11, , , 
India, 1084.93, 2026-06-11, , , 
Central African Republic, 1080.82, 2026-06-11, , , 
Liberia, 1080.44, 2026-06-11, , , 
Turkmenistan, 1078.65, 2026-06-11, , , 
Burundi, 1078.01, 2026-06-11, , , 
Ethiopia, 1077.52, 2026-06-11, , , 
Dominican Republic, 1076.50, 2026-06-11, , , 
Yemen, 1065.24, 2026-06-11, , , 
Lesotho, 1064.29, 2026-06-11, , , 
Botswana, 1063.63, 2026-06-11, , , 
Singapore, 1057.95, 2026-06-11, , , 
Lithuania, 1056.85, 2026-06-11, , , 
Guyana, 1049.32, 2026-06-11, , , 
New Caledonia, 1036.95, 2026-06-11, , , 
St. Kitts and Nevis, 1036.33, 2026-06-11, , , 
Solomon Islands, 1031.89, 2026-06-11, , , 
Puerto Rico, 1024.30, 2026-06-11, , , 
Fiji, 1024.17, 2026-06-11, , , 
Hong Kong, 1024.16, 2026-06-11, , , 
Tahiti, 1019.04, 2026-06-11, , , 
Myanmar, 1010.91, 2026-06-11, , , 
Moldova, 1008.24, 2026-06-11, , , 
Vanuatu, 1002.53, 2026-06-11, , , 
Malta, 992.79, 2026-06-11, , , 
Antigua and Barbuda, 986.58, 2026-06-11, , , 
Grenada, 981.82, 2026-06-11, , , 
Cuba, 981.42, 2026-06-11, , , 
Eswatini, 979.01, 2026-06-11, , , 
St. Lucia, 976.71, 2026-06-11, , , 
Bermuda, 975.05, 2026-06-11, , , 
Papua New Guinea, 974.90, 2026-06-11, , , 
South Sudan, 970.94, 2026-06-11, , , 
St. Vincent / Grenadines, 968.27, 2026-06-11, , , 
Afghanistan, 968.07, 2026-06-11, , , 
Andorra, 946.43, 2026-06-11, , , 
Maldives, 943.92, 2026-06-11, , , 
Chinese Taipei, 923.78, 2026-06-11, , , 
Cambodia, 922.32, 2026-06-11, , , 
Montserrat, 916.75, 2026-06-11, , , 
Nepal, 914.54, 2026-06-11, , , 
Mauritius, 911.49, 2026-06-11, , , 
Barbados, 909.89, 2026-06-11, , , 
Belize, 907.00, 2026-06-11, , , 
Bangladesh, 902.93, 2026-06-11, , , 
Dominica, 897.69, 2026-06-11, , , 
Chad, 896.85, 2026-06-11, , , 
Eritrea, 887.06, 2026-06-11, , , 
Laos, 885.03, 2026-06-11, , , 
Cook Islands, 877.53, 2026-06-11, , , 
Sri Lanka, 876.86, 2026-06-11, , , 
Samoa, 876.41, 2026-06-11, , , 
Aruba, 875.61, 2026-06-11, , , 
Mongolia, 874.47, 2026-06-11, , , 
American Samoa, 871.61, 2026-06-11, , , 
Bhutan, 870.81, 2026-06-11, , , 
Macau, 858.03, 2026-06-11, , , 
Brunei, 857.73, 2026-06-11, , , 
São Tomé and Príncipe, 855.44, 2026-06-11, , , 
Djibouti, 853.58, 2026-06-11, , , 
Cayman Islands, 850.06, 2026-06-11, , , 
Pakistan, 840.28, 2026-06-11, , , 
Somalia, 839.17, 2026-06-11, , , 
Tonga, 835.64, 2026-06-11, , , 
Timor-Leste, 831.00, 2026-06-11, , , 
Gibraltar, 820.26, 2026-06-11, , , 
Guam, 819.54, 2026-06-11, , , 
Seychelles, 804.16, 2026-06-11, , , 
Turks and Caicos Islands, 803.98, 2026-06-11, , , 
Liechtenstein, 797.70, 2026-06-11, , , 
Bahamas, 786.82, 2026-06-11, , , 
US Virgin Islands, 779.76, 2026-06-11, , , 
British Virgin Islands, 777.41, 2026-06-11, , , 
Anguilla, 760.25, 2026-06-11, , , 
San Marino, 721.20, 2026-06-11, , ,
